run_dir,route_kind,artifact,point_run_id,point_id,status,severity,category,root_cause,physical_meaning,required_action,fit_eligibility_policy
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8f_T20_800_direct_240purge_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8g_T20_900_direct_240purge_finalparams,co2,.,,,,review,direct_or_retry_point_without_queue_manifest,A completed point was produced outside a closed formal queue manifest.,The point can only be considered through explicit supersedence/accepted-manifest review.,Bind it into an accepted manifest with the failed point it supersedes; never call it continuous.,review_only_until_accepted_manifest
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8g_T20_900_direct_240purge_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8h_T20_1000_direct_240purge_finalparams,co2,.,,,,review,direct_or_retry_point_without_queue_manifest,A completed point was produced outside a closed formal queue manifest.,The point can only be considered through explicit supersedence/accepted-manifest review.,Bind it into an accepted manifest with the failed point it supersedes; never call it continuous.,review_only_until_accepted_manifest
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g8h_T20_1000_direct_240purge_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,co2,co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams/queue_manifest.csv,p019_Tm20_400ppm_fit,,failed,blocker,pressure_gauge_no_response,Pressure gauge readback returned NO_RESPONSE during pre-seal/open-flow verification.,The atmospheric/open-flow pressure reference for the point was not traceable.,"Hold the run, restore pressure gauge communication, and rerun the affected point.",failed_point_not_fit_eligible
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g9_T10_to_Tm20_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams,co2,.,,,,review,direct_or_retry_point_without_queue_manifest,A completed point was produced outside a closed formal queue manifest.,The point can only be considered through explicit supersedence/accepted-manifest review.,Bind it into an accepted manifest with the failed point it supersedes; never call it continuous.,review_only_until_accepted_manifest
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams,co2,.,,,,review,direct_or_retry_point_without_queue_manifest,A completed point was produced outside a closed formal queue manifest.,The point can only be considered through explicit supersedence/accepted-manifest review.,Bind it into an accepted manifest with the failed point it supersedes; never call it continuous.,review_only_until_accepted_manifest
D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams,co2,.,,,,review,manual_parameter_or_execution_mode_change,"Run naming indicates changed execution parameters such as no-temp wait, 240 s purge, finalparams, direct, or retry.","The physical point may still be valid, but it is no longer one frozen queue execution.",Require parameter-hash review and accepted-manifest selection before fitting.,requires_parameter_review
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g1,h2o,queue_abort_exclusion.csv,,,aborted,blocker,queue_aborted_before_sampling_no_manifest,The queue planned points but aborted before producing queue_manifest.csv.,"No formal point sampling occurred, so ok=0/failed=0 is not success.",Treat the segment as not executed; restart with a valid queue runner and require queue_manifest.csv.,not_fit_eligible
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g2,h2o,queue_abort_exclusion.csv,,,aborted,blocker,queue_aborted_before_sampling_no_manifest,The queue planned points but aborted before producing queue_manifest.csv.,"No formal point sampling occurred, so ok=0/failed=0 is not success.",Treat the segment as not executed; restart with a valid queue runner and require queue_manifest.csv.,not_fit_eligible
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g3,h2o,queue_abort_exclusion.csv,,,aborted,blocker,queue_aborted_before_sampling_no_manifest,The queue planned points but aborted before producing queue_manifest.csv.,"No formal point sampling occurred, so ok=0/failed=0 is not success.",Treat the segment as not executed; restart with a valid queue runner and require queue_manifest.csv.,not_fit_eligible
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g4,h2o,queue_manifest.csv,p002_T10_HG10C_30RH_h2o,h2o_T10_HGEN10C_30RH_ambient,failed,blocker,pressure_controller_vent_no_response,PACE atmosphere vent command returned NO_RESPONSE during startup/pre-point reset.,The route could not prove atmospheric vent-hold before opening the flow path.,"Stop the queue, recover PACE communication/vent state, then rerun from a clean queue segment.",failed_point_not_fit_eligible
D:\gas_calibrator\_p9_20260706\h2o_6old_0620clean_mature13_g4,h2o,queue_abort_exclusion.csv,p002_T10_HG10C_30RH_h2o,h2o_T10_HGEN10C_30RH_ambient,failed,blocker,pressure_controller_vent_no_response,PACE atmosphere vent command returned NO_RESPONSE during startup/pre-point reset.,The route could not prove atmospheric vent-hold before opening the flow path.,"Stop the queue, recover PACE communication/vent state, then rerun from a clean queue segment.",failed_point_not_fit_eligible
