task_id,priority,task_status,route_kind,point_name,point_dir,root_classification,lineage_classification,accepted_manifest_member,accepted_manifest_status,accepted_manifest_warning,same_physical_accepted_composite_alternative_exists,gap_codes,recommended_actions,same_point_evidence_only,cross_run_qc_direct_bind_allowed,automatic_qc_derivation_allowed,offline_evidence_recovery_review_allowed,continuous_route_attestation_allowed,formal_fit_allowed,formal_release_allowed,database_import_allowed
legacy_evidence_gap_0017,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p017_T20_200ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p017_T20_200ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0018,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p018_T20_300ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p018_T20_300ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0019,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p019_T20_400ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p019_T20_400ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0020,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p020_T20_500ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p020_T20_500ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0021,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p021_T20_600ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p021_T20_600ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0022,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p022_T20_700ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p022_T20_700ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0023,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p023_T20_800ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p023_T20_800ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0024,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p024_T20_900ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p024_T20_900ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0025,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p025_T20_1000ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p025_T20_1000ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0026,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p026_T10_0ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p026_T10_0ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0027,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p027_T10_100ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p027_T10_100ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0028,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p028_T10_200ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p028_T10_200ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0029,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p029_T10_300ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p029_T10_300ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0030,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p030_T10_400ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p030_T10_400ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0031,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p031_T10_500ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p031_T10_500ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0032,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p032_T10_600ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p032_T10_600ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0033,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p033_T10_700ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p033_T10_700ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0034,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p034_T10_800ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p034_T10_800ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0035,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p035_T10_900ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p035_T10_900ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0036,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p036_T10_1000ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p036_T10_1000ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0037,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p037_T0_0ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p037_T0_0ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0038,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p038_T0_400ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p038_T0_400ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0039,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p039_T0_1000ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p039_T0_1000ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0040,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p040_Tm10_0ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p040_Tm10_0ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""component_qc_missing"", ""forbidden_0624_or_migration_source"", ""frame_qc_missing"", ""point_samples_missing""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0041,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p041_Tm10_400ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p041_Tm10_400ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""component_qc_missing"", ""forbidden_0624_or_migration_source"", ""frame_qc_missing"", ""point_samples_missing""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0042,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p042_Tm10_1000ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p042_Tm10_1000ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0043,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p043_Tm20_0ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p043_Tm20_0ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0044,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p044_Tm20_400ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p044_Tm20_400ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0045,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p045_Tm20_1000ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r10_task_direct_continuous_nowrite\co2\p045_Tm20_1000ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0046,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p001_T40_0ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r8_real_continuous_nowrite\co2\p001_T40_0ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""component_qc_missing"", ""forbidden_0624_or_migration_source""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0047,P3_forbidden_reference,forbidden_source_retain_diagnostic_only,co2,p002_T40_400ppm_fit,D:\gas_calibrator\_handoff\v1_5_formal_route_real_20260624\current6_20260624_r8_real_continuous_nowrite\co2\p002_T40_400ppm_fit,forbidden_0624_or_migration,forbidden_0624_or_migration,False,,,False,"[""component_qc_missing"", ""forbidden_0624_or_migration_source"", ""frame_qc_missing"", ""point_samples_missing""]","[""retain_for_diagnostic_reference_only_never_promote""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0048,P2_quality_traceability,manual_offline_evidence_review_required,co2,p019_Tm20_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g10_Tm20_400_retry_finalparams\p019_Tm20_400ppm_fit_retry1,segmented_v1_5_point_evidence,segmented_retry_or_recovery,True,accepted,,False,"[""component_qc_missing"", ""retry_or_recovery_lineage_not_continuous""]","[""review_same_point_samples_and_frame_qc_for_component_qc_backfill"", ""preserve_segment_retry_recovery_lineage_never_claim_continuous_route""]",True,False,False,True,False,False,False,False
legacy_evidence_gap_0049,P2_quality_traceability,manual_offline_evidence_review_required,co2,p020_Tm20_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g11_Tm20_1000_direct_finalparams\p020_Tm20_1000ppm_fit,segmented_v1_5_point_evidence,segmented_retry_or_recovery,True,accepted,,False,"[""component_qc_missing"", ""retry_or_recovery_lineage_not_continuous""]","[""review_same_point_samples_and_frame_qc_for_component_qc_backfill"", ""preserve_segment_retry_recovery_lineage_never_claim_continuous_route""]",True,False,False,True,False,False,False,False
legacy_evidence_gap_0050,P2_quality_traceability,manual_offline_evidence_review_required,co2,p001_T40_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p001_T40_0ppm_fit,segmented_v1_5_point_evidence,accepted_composite_member_diagnostic_only,True,accepted,,False,"[""accepted_composite_lineage_not_continuous"", ""component_qc_missing""]","[""review_same_point_samples_and_frame_qc_for_component_qc_backfill"", ""preserve_segment_retry_recovery_lineage_never_claim_continuous_route""]",True,False,False,True,False,False,False,False
legacy_evidence_gap_0051,P3_superseded_reference,superseded_attempt_retain_reference_only,co2,p002_T40_400ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit,segmented_v1_5_point_evidence,segmented_point_evidence,False,,,True,"[""component_qc_missing"", ""frame_qc_missing"", ""point_samples_missing"", ""same_physical_accepted_composite_alternative_exists"", ""segmented_lineage_not_continuous""]","[""retain_original_attempt_and_reference_accepted_alternative_without_direct_binding"", ""preserve_segment_retry_recovery_lineage_never_claim_continuous_route""]",True,False,False,False,False,False,False,False
legacy_evidence_gap_0052,P2_quality_traceability,manual_offline_evidence_review_required,co2,p002_T40_400ppm_fit_retry1,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p002_T40_400ppm_fit_retry1,segmented_v1_5_point_evidence,segmented_retry_or_recovery,True,accepted,,False,"[""component_qc_missing"", ""retry_or_recovery_lineage_not_continuous""]","[""review_same_point_samples_and_frame_qc_for_component_qc_backfill"", ""preserve_segment_retry_recovery_lineage_never_claim_continuous_route""]",True,False,False,True,False,False,False,False
legacy_evidence_gap_0053,P2_quality_traceability,manual_offline_evidence_review_required,co2,p003_T40_1000ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g3_finalparams\p003_T40_1000ppm_fit,segmented_v1_5_point_evidence,accepted_composite_member_diagnostic_only,True,accepted_with_warning,parent_queue_stopped_context_but_point_log_and_route_timing_valid,False,"[""accepted_composite_lineage_not_continuous"", ""accepted_manifest_warning_requires_review"", ""component_qc_missing""]","[""review_same_point_samples_and_frame_qc_for_component_qc_backfill"", ""review_warning_without_clearing_original_acceptance_status"", ""preserve_segment_retry_recovery_lineage_never_claim_continuous_route""]",True,False,False,True,False,False,False,False
legacy_evidence_gap_0054,P2_quality_traceability,manual_offline_evidence_review_required,co2,p001_T30_0ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p001_T30_0ppm_fit,segmented_v1_5_point_evidence,accepted_composite_member_diagnostic_only,True,accepted_with_warning,min_valid_frames_9;min_total_frames_9,False,"[""accepted_composite_lineage_not_continuous"", ""accepted_manifest_warning_requires_review"", ""component_qc_missing""]","[""review_same_point_samples_and_frame_qc_for_component_qc_backfill"", ""review_warning_without_clearing_original_acceptance_status"", ""preserve_segment_retry_recovery_lineage_never_claim_continuous_route""]",True,False,False,True,False,False,False,False
legacy_evidence_gap_0055,P2_quality_traceability,manual_offline_evidence_review_required,co2,p002_T30_100ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p002_T30_100ppm_fit,segmented_v1_5_point_evidence,accepted_composite_member_diagnostic_only,True,accepted,,False,"[""accepted_composite_lineage_not_continuous"", ""component_qc_missing""]","[""review_same_point_samples_and_frame_qc_for_component_qc_backfill"", ""preserve_segment_retry_recovery_lineage_never_claim_continuous_route""]",True,False,False,True,False,False,False,False
legacy_evidence_gap_0056,P2_quality_traceability,manual_offline_evidence_review_required,co2,p003_T30_200ppm_fit,D:\gas_calibrator\_p9_20260705\co2_6old_0620clean_mature45_g4_T30_to_Tm20_finalparams\p003_T30_200ppm_fit,segmented_v1_5_point_evidence,accepted_composite_member_diagnostic_only,True,accepted,,False,"[""accepted_composite_lineage_not_continuous"", ""component_qc_missing""]","[""review_same_point_samples_and_frame_qc_for_component_qc_backfill"", ""preserve_segment_retry_recovery_lineage_never_claim_continuous_route""]",True,False,False,True,False,False,False,False
